num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
1,2022,1,4,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Guatemala,9,Hombre,27,25-29,25-29,25 - 29,Mayor,Automóvil,Honda,Azul,Ignorado,Ignorado,Colisión,Lesionado,No internado
2,2022,1,11,06:00 a 11:59,Mañana,Enero,Sabado,Guatemala,San José Pinula,Ignorado,Hombre,22,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
3,2022,1,1,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Guatemala,7,Hombre,26,25-29,25-29,25 - 29,Mayor,Automóvil,Mitsubishi,Amarillo,2002,2000-2009,Choque,Lesionado,Internado
4,2022,1,7,06:00 a 11:59,Mañana,Enero,Sabado,Guatemala,Guatemala,7,Hombre,35,35-39,35-39,35 - 39,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
5,2022,1,5,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape,Fallecido,No internado
6,2022,1,5,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,29,25-29,25-29,25 - 29,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,Derrape,Lesionado,Internado
7,2022,1,5,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,34,30-34,30-34,30 - 34,Mayor,Motocicleta,Yamaha,Blanco,Ignorado,Ignorado,Derrape,Fallecido,No internado
8,2022,1,5,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,24,20-24,20-24,20 - 24,Mayor,Motocicleta,Yamaha,Blanco,Ignorado,Ignorado,Derrape,Lesionado,Internado
9,2022,1,21,18:00 a 23:59,Noche,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Hombre,35,35-39,35-39,35 - 39,Mayor,Camioneta,Ford,Verde,1998,1990-1999,Derrape,Lesionado,Internado
10,2022,1,21,18:00 a 23:59,Noche,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Camioneta,Ford,Verde,1998,1990-1999,Derrape,Lesionado,Internado
11,2022,1,0,00:00 a 05:59,Mañana,Enero,Sabado,Guatemala,Villa Nueva,Ignorado,Mujer,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,Lesionado,Internado
12,2022,1,13,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Mixco,1,Mujer,45,45-49,45-49,45 - 49,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,Choque,Lesionado,Internado
13,2022,1,13,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Mixco,1,Mujer,40,40-44,40-44,40 - 44,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,Choque,Lesionado,Internado
14,2022,1,13,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Mixco,1,Hombre,20,20-24,20-24,20 - 24,Mayor,Automóvil,Hyundai,Negro,2002,2000-2009,Choque,Lesionado,Internado
15,2022,1,13,12:00 a 17:59,Tarde,Enero,Sabado,Guatemala,Mixco,1,Mujer,5,Menor de 15,Menor de 15,5 - 9,Menor,Automóvil,Hyundai,Negro,2002,2000-2009,Choque,Lesionado,Internado
16,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Hombre,23,20-24,20-24,20 - 24,Mayor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Lesionado,Internado
17,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,42,40-44,40-44,40 - 44,Mayor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Fallecido,Internado
18,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Lesionado,Internado
19,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Lesionado,Internado
20,2022,1,19,18:00 a 23:59,Noche,Enero,Sabado,Jutiapa,Agua Blanca,Ignorado,Mujer,16,15-19,15-19,15 - 19,Menor,Moto taxi,Ignorado,Ignorado,Ignorado,Ignorado,Vuelco,Lesionado,Internado
21,2022,1,8,06:00 a 11:59,Mañana,Enero,Sabado,Jutiapa,Asunción Mita,Ignorado,Hombre,36,35-39,35-39,35 - 39,Mayor,Motocicleta,Freedom,Blanco,Ignorado,Ignorado,Choque,Fallecido,No internado
